feature,shap_value_log,abs_shap_value_log,feature_value,expected_value_log,prediction_log,prediction_cases
cases,-0.25686017089569013,0.25686017089569013,725.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_log1p,-0.2430582401597526,0.2430582401597526,6.587550014824796,8.496757190705845,6.616950467818492,746.6615989740477
cases_roll_mean_2,-0.20988406029631135,0.20988406029631135,794.5,8.496757190705845,6.616950467818492,746.6615989740477
recovered,-0.1587316073639615,0.1587316073639615,816.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_log1p_lag_1,-0.11879658172431302,0.11879658172431302,6.762729506931879,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_1,-0.0939760322735778,0.0939760322735778,864.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_roll_mean_4,-0.08581153178568733,0.08581153178568733,872.0,8.496757190705845,6.616950467818492,746.6615989740477
active_now,-0.07184175094026254,0.07184175094026254,136306.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_roll_mean_8,-0.06363552761442848,0.06363552761442848,989.5,8.496757190705845,6.616950467818492,746.6615989740477
time_idx,-0.05593347570305577,0.05593347570305577,261.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_2,-0.049049536920676075,0.049049536920676075,903.0,8.496757190705845,6.616950467818492,746.6615989740477
active_delta,-0.04727826522399256,0.04727826522399256,-95.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_4,-0.045063751439360464,0.045063751439360464,939.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_log1p_lag_3,-0.032518403855594284,0.032518403855594284,6.904750769961838,8.496757190705845,6.616950467818492,746.6615989740477
cases_growth_2w,-0.03059293430337764,0.03059293430337764,-0.1971207087486157,8.496757190705845,6.616950467818492,746.6615989740477
recovered_lag_1,-0.029912390065243908,0.029912390065243908,885.0,8.496757190705845,6.616950467818492,746.6615989740477
active_now_lag_1,-0.02886806957769969,0.02886806957769969,136401.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_growth_4w,-0.024916586111142277,0.024916586111142277,-0.2279020234291799,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_3,-0.022840787120050308,0.022840787120050308,996.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_ratio_4w,-0.021909691332784545,0.021909691332784545,0.77209797657082,8.496757190705845,6.616950467818492,746.6615989740477
cases_ratio_1w,-0.021780880188942094,0.021780880188942094,0.8391203703703703,8.496757190705845,6.616950467818492,746.6615989740477
year,-0.021538214663921095,0.021538214663921095,2025.0,8.496757190705845,6.616950467818492,746.6615989740477
active_delta_lag_1,-0.020665137406402287,0.020665137406402287,-26.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_roll_std_4,-0.01978167784968258,0.01978167784968258,112.56109452084478,8.496757190705845,6.616950467818492,746.6615989740477
cases_log1p_lag_2,-0.018013084892587013,0.018013084892587013,6.806829360392176,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_12,-0.012819692554665505,0.012819692554665505,3958.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_growth_1w,-0.012559492763849652,0.012559492763849652,-0.1608796296296296,8.496757190705845,6.616950467818492,746.6615989740477
cases_roll_std_8,-0.01234113253719644,0.01234113253719644,173.49598595615046,8.496757190705845,6.616950467818492,746.6615989740477
cases_acceleration_1w,-0.01148946503658409,0.01148946503658409,-0.1176902608588655,8.496757190705845,6.616950467818492,746.6615989740477
cases_ratio_2w,-0.008397812100919607,0.008397812100919607,0.8028792912513842,8.496757190705845,6.616950467818492,746.6615989740477
quarter,-0.00810847226727617,0.00810847226727617,1.0,8.496757190705845,6.616950467818492,746.6615989740477
deaths_lag_1,-0.007561444746339045,0.007561444746339045,5.0,8.496757190705845,6.616950467818492,746.6615989740477
deaths,-0.006420580360218019,0.006420580360218019,4.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_peak_distance_4w,-0.006026572073435084,0.006026572073435084,-0.2720883534136546,8.496757190705845,6.616950467818492,746.6615989740477
month_cos,0.0037556698292911537,0.0037556698292911537,6.123233995736766e-17,8.496757190705845,6.616950467818492,746.6615989740477
weekofyear,-0.002420326058354564,0.002420326058354564,12.0,8.496757190705845,6.616950467818492,746.6615989740477
weekofyear_sin,-0.002343034351098372,0.002343034351098372,0.992708874098054,8.496757190705845,6.616950467818492,746.6615989740477
month,0.0021856629217968963,0.0021856629217968963,3.0,8.496757190705845,6.616950467818492,746.6615989740477
cases_lag_8,-0.0018718357778615318,0.0018718357778615318,1280.0,8.496757190705845,6.616950467818492,746.6615989740477
weekofyear_cos,-0.0005345866485924347,0.0005345866485924347,0.120536680255323,8.496757190705845,6.616950467818492,746.6615989740477
month_sin,0.00040478134644727527,0.00040478134644727527,1.0,8.496757190705845,6.616950467818492,746.6615989740477
