model_name,target_col,horizon_weeks,n_predictions,rmse,mae,mape_pct,smape_pct,wape_pct,directional_accuracy_pct,mean_true,mean_pred,rmse_improvement_vs_naive_pct,mae_improvement_vs_naive_pct,mape_improvement_vs_naive_pct
naive_last_week,target_t_plus_1,1,49,563.1089175827573,423.2040816326531,16.16614302137671,14.97884591784889,14.654916538282144,0.0,2887.795918367347,2935.6938775510203,0.0,0.0,0.0
baseline_epi_catboost,target_t_plus_1,1,49,960.0631561792608,702.5249284442816,39.84037660216928,34.37336971875077,24.327374520338793,42.857142857142854,2887.795918367347,3148.9033310837585,-70.49333196506609,-66.00145389289578,-146.44330159326074
hybrid_catboost,target_t_plus_1,1,49,1722.5720914625742,1348.7049559150432,82.42402529602947,47.2415315179508,46.70361043648649,38.775510204081634,2887.795918367347,4027.283414092908,-205.9038913567581,-218.68902367669924,-409.8558461782694
baseline_digital_catboost,target_t_plus_1,1,49,3667.0769533435673,3062.8398532958136,187.63450422794534,76.26421519548452,106.06150641792686,34.69387755102041,2887.795918367347,5704.456505694023,-551.2198331159683,-623.7264445748896,-1060.6633937348797
naive_last_week,target_t_plus_2,2,49,984.3261861884639,748.2857142857143,29.414927664454254,25.756120542769562,25.912001243798677,0.0,2887.795918367347,2991.5102040816328,0.0,0.0,0.0
baseline_epi_catboost,target_t_plus_2,2,49,1529.1541188347014,1069.4680391784036,63.64985098104847,41.226891974275006,37.03405882584118,55.10204081632652,2887.795918367347,3462.1532630279316,-55.35034425487916,-42.92241837053884,-116.38622303315935
hybrid_catboost,target_t_plus_2,2,49,2172.283948072096,1631.8352809709893,100.34171327756707,51.7561768234213,56.50798488189458,53.06122448979592,2887.795918367347,4311.615787245411,-120.68740815315257,-118.07649802972364,-241.12514034437876
baseline_digital_catboost,target_t_plus_2,2,49,3810.6221266769694,3115.152738374965,195.32144929984835,76.53543398060995,107.87302241690809,46.93877551020408,2887.795918367347,5852.180865727273,-287.13001646665214,-316.30525331471466,-564.0215183526687
naive_last_week,target_t_plus_3,3,49,1338.726854827651,1009.3877551020408,41.60806617453433,34.27847518823764,34.95356956085426,0.0,2887.795918367347,3058.408163265306,0.0,0.0,0.0
baseline_epi_catboost,target_t_plus_3,3,49,2162.192977407483,1409.912213188435,87.29266083959128,45.930199908638016,48.82312507684225,57.14285714285714,2887.795918367347,3960.1894505336186,-61.51113795994222,-39.679940247135704,-109.7974476233111
hybrid_catboost,target_t_plus_3,3,49,3414.155779120109,2174.7634236871772,130.68478887126233,57.814071060646896,75.3087643712963,55.10204081632652,2887.795918367347,5012.470721588768,-155.03005088813657,-115.45371565036733,-214.0852264632434
baseline_digital_catboost,target_t_plus_3,3,49,6054.062692719924,3886.115287624978,248.1846753869549,78.64263750964096,134.57028811863006,46.93877551020408,2887.795918367347,6684.0952552421795,-352.225386447434,-284.99726868909,-496.48212042801714
