query_feature,query_feature_denoised,share_feature,best_lag_weeks,best_corr_abs,best_corr_signed,n_obs
ws_одышка,ws_одышка_denoised,ws_share_одышка,4,0.4696732539899155,-0.4696732539899155,257
ws_нет_запахов,ws_нет_запахов_denoised,ws_share_нет_запахов,5,0.44633429758757615,-0.44633429758757615,256
ws_кт_легких,ws_кт_легких_denoised,ws_share_кт_легких,6,0.4158065915589164,-0.4158065915589164,255
ws_боль_в_горле,ws_боль_в_горле_denoised,ws_share_боль_в_горле,6,0.39974084637738144,-0.39974084637738144,255
ws_сатурация,ws_сатурация_denoised,ws_share_сатурация,6,0.38513913290350366,-0.38513913290350366,255
ws_пневмония,ws_пневмония_denoised,ws_share_пневмония,5,0.3766616499076422,-0.3766616499076422,256
ws_ломота,ws_ломота_denoised,ws_share_ломота,6,0.37007754057310943,-0.37007754057310943,255
ws_потеря_вкуса,ws_потеря_вкуса_denoised,ws_share_потеря_вкуса,6,0.36637263447842777,-0.36637263447842777,255
ws_сухой_кашель,ws_сухой_кашель_denoised,ws_share_сухой_кашель,4,0.3519288735343291,-0.3519288735343291,257
ws_температура_38,ws_температура_38_denoised,ws_share_температура_38,6,0.32345381011637797,-0.32345381011637797,255
ws_температура_39,ws_температура_39_denoised,ws_share_температура_39,6,0.31029949679926044,-0.31029949679926044,255
ws_пропало_обоняние,ws_пропало_обоняние_denoised,ws_share_пропало_обоняние,6,0.30640160857672794,-0.30640160857672794,255
ws_симптомы_ковида,ws_симптомы_ковида_denoised,ws_share_симптомы_ковида,6,0.26979529279909814,-0.26979529279909814,255
ws_чем_лечить_ковид,ws_чем_лечить_ковид_denoised,ws_share_чем_лечить_ковид,6,0.26513566404400934,-0.26513566404400934,255
ws_covid,ws_covid_denoised,ws_share_covid,6,0.215479668711123,-0.215479668711123,255
ws_ковид,ws_ковид_denoised,ws_share_ковид,6,0.17396626546154398,-0.17396626546154398,255
ws_тест_на_ковид,ws_тест_на_ковид_denoised,ws_share_тест_на_ковид,6,0.15365051488845147,-0.15365051488845147,255
ws_экспресс_тест_ковид,ws_экспресс_тест_ковид_denoised,ws_share_экспресс_тест_ковид,6,0.14735568549921713,-0.14735568549921713,255
ws_положительный_тест_ковид,ws_положительный_тест_ковид_denoised,ws_share_положительный_тест_ковид,6,0.14097620278468073,-0.14097620278468073,255
ws_коронавирус,ws_коронавирус_denoised,ws_share_коронавирус,6,0.0966705474822948,-0.0966705474822948,255
ws_пцр_тест,ws_пцр_тест_denoised,ws_share_пцр_тест,6,0.08038802520022899,-0.08038802520022899,255
